"method","animal","dims","resolution","cluster","cell_count","silhouette_score","is_small_cluster","average_silhouette_score"
"SCT","merged",25,0.75,18,224,0.129740318544248,FALSE,0.139650989274812
"SCT","merged",25,0.75,19,197,0.418591509484894,FALSE,0.139650989274812
"SCT","merged",30,0.25,0,10046,NA,FALSE,0.121847792229138
"SCT","merged",30,0.25,1,4951,0.0490120418673469,FALSE,0.121847792229138
"SCT","merged",30,0.25,2,4090,0.181397653617533,FALSE,0.121847792229138
"SCT","merged",30,0.25,3,3968,0.0125629345025993,FALSE,0.121847792229138
"SCT","merged",30,0.25,4,3474,0.14385876090099,FALSE,0.121847792229138
"SCT","merged",30,0.25,5,2986,0.0827093746206031,FALSE,0.121847792229138
"SCT","merged",30,0.25,6,2798,0.199476114177814,FALSE,0.121847792229138
"SCT","merged",30,0.25,7,2055,0.0859606323972388,FALSE,0.121847792229138
"SCT","merged",30,0.25,8,1269,0.216356989820472,FALSE,0.121847792229138
"SCT","merged",30,0.25,9,730,0.369709312826276,FALSE,0.121847792229138
"SCT","merged",30,0.25,10,600,0.214950780274266,FALSE,0.121847792229138
"SCT","merged",30,0.25,11,572,0.0732961459999991,FALSE,0.121847792229138
"SCT","merged",30,0.25,12,195,0.346498566735426,FALSE,0.121847792229138
"SCT","merged",30,0.25,13,182,0.315157271946459,FALSE,0.121847792229138
"SCT","merged",30,0.3,0,10021,NA,FALSE,0.128650833235789
"SCT","merged",30,0.3,1,4875,0.102958094464958,FALSE,0.128650833235789
"SCT","merged",30,0.3,2,4102,0.167592891213841,FALSE,0.128650833235789
"SCT","merged",30,0.3,3,3826,0.0145079950457103,FALSE,0.128650833235789
"SCT","merged",30,0.3,4,3518,0.159455682346901,FALSE,0.128650833235789
"SCT","merged",30,0.3,5,2985,0.0831082388423716,FALSE,0.128650833235789
"SCT","merged",30,0.3,6,2867,0.199274731011725,FALSE,0.128650833235789
"SCT","merged",30,0.3,7,2365,0.078440596224128,FALSE,0.128650833235789
"SCT","merged",30,0.3,8,1269,0.0834582809857811,FALSE,0.128650833235789
"SCT","merged",30,0.3,9,729,0.368693166955863,FALSE,0.128650833235789
"SCT","merged",30,0.3,10,572,0.210567246016304,FALSE,0.128650833235789
"SCT","merged",30,0.3,11,410,0.34623379670028,FALSE,0.128650833235789
"SCT","merged",30,0.3,12,195,0.145528533461289,FALSE,0.128650833235789
"SCT","merged",30,0.3,13,182,0.315854720347777,FALSE,0.128650833235789
"SCT","merged",30,0.5,0,7778,NA,FALSE,0.130455498702583
"SCT","merged",30,0.5,1,4011,0.0961114221404611,FALSE,0.130455498702583
"SCT","merged",30,0.5,2,3748,0.116589229626146,FALSE,0.130455498702583
"SCT","merged",30,0.5,3,3248,0.332292860691496,FALSE,0.130455498702583
"SCT","merged",30,0.5,4,2986,0.0165941062729772,FALSE,0.130455498702583
"SCT","merged",30,0.5,5,2256,0.193851883586671,FALSE,0.130455498702583
"SCT","merged",30,0.5,6,2254,0.147493118063869,FALSE,0.130455498702583
"SCT","merged",30,0.5,7,2236,0.0555880206620017,FALSE,0.130455498702583
"SCT","merged",30,0.5,8,2194,0.183613035479186,FALSE,0.130455498702583
"SCT","merged",30,0.5,9,1855,-0.103232618102526,FALSE,0.130455498702583
"SCT","merged",30,0.5,10,1270,0.0956002423262954,FALSE,0.130455498702583
"SCT","merged",30,0.5,11,1042,0.35721778443096,FALSE,0.130455498702583
"SCT","merged",30,0.5,12,944,0.0522022309467768,FALSE,0.130455498702583
"SCT","merged",30,0.5,13,734,6.75233127556952e-07,FALSE,0.130455498702583
"SCT","merged",30,0.5,14,571,0.178785033479421,FALSE,0.130455498702583
"SCT","merged",30,0.5,15,411,0.312273511711644,FALSE,0.130455498702583
"SCT","merged",30,0.5,16,196,0.114363031102509,FALSE,0.130455498702583
"SCT","merged",30,0.5,17,182,0.304748130329425,FALSE,0.130455498702583
"SCT","merged",30,0.75,0,4927,NA,FALSE,0.132373382995067
"SCT","merged",30,0.75,1,4016,0.14632040451938,FALSE,0.132373382995067
"SCT","merged",30,0.75,2,3749,0.107235291026926,FALSE,0.132373382995067
"SCT","merged",30,0.75,3,3321,0.335423577364405,FALSE,0.132373382995067
"SCT","merged",30,0.75,4,2992,0.000791139798396047,FALSE,0.132373382995067
"SCT","merged",30,0.75,5,2977,0.0632290818578404,FALSE,0.132373382995067
"SCT","merged",30,0.75,6,2353,0.195181143408749,FALSE,0.132373382995067
"SCT","merged",30,0.75,7,2321,0.100209332829002,FALSE,0.132373382995067
"SCT","merged",30,0.75,8,2252,0.121646973690753,FALSE,0.132373382995067
"SCT","merged",30,0.75,9,1858,0.0456872895248578,FALSE,0.132373382995067
"SCT","merged",30,0.75,10,1270,0.094791909838265,FALSE,0.132373382995067
"SCT","merged",30,0.75,11,1166,0.348866153331655,FALSE,0.132373382995067
"SCT","merged",30,0.75,12,1045,0.00384580779446336,FALSE,0.132373382995067
"SCT","merged",30,0.75,13,912,0.0516701649401798,FALSE,0.132373382995067
"SCT","merged",30,0.75,14,754,-0.0376305384944343,FALSE,0.132373382995067
"SCT","merged",30,0.75,15,642,0.127064998359963,FALSE,0.132373382995067
"SCT","merged",30,0.75,16,572,0.150563271088584,FALSE,0.132373382995067
"SCT","merged",30,0.75,17,411,0.311432270615514,FALSE,0.132373382995067
"SCT","merged",30,0.75,18,196,0.0818106747954709,FALSE,0.132373382995067
"SCT","merged",30,0.75,19,182,0.302920280713819,FALSE,0.132373382995067
"LogNormalize","merged",10,0.25,0,10215,NA,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,1,4694,0.235458845637514,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,2,3677,0.442404494382778,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,3,3599,0.444970765269131,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,4,3219,0.227456692800702,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,5,2809,0.225397624527806,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,6,2359,0.0907841607935793,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,7,1720,0.25294207240922,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,8,1695,0.198014234438401,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,9,1550,0.221303476675183,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,10,989,0.0182766081804217,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,11,615,-0.0455945470304249,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,12,469,0.208124832984535,FALSE,0.246719026095621
"LogNormalize","merged",10,0.25,13,306,-0.181108142279474,FALSE,0.246719026095621
"LogNormalize","merged",10,0.3,0,8838,NA,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,1,4906,0.262667916097633,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,2,4605,0.360451434734328,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,3,3555,0.457401578651485,FALSE,0.244899489890387
"LogNormalize","merged",10,0.3,4,3202,0.235024448093387,FALSE,0.244899489890387
