"cluster","animal","n_DEGs","dims","resolution"
"C6","animal27",218673,"20","0.75"
"C6","animal28",222144,"20","0.75"
"C7","animal25",67588,"20","0.75"
"C7","animal26",10858,"20","0.75"
"C7","animal27",13786,"20","0.75"
"C7","animal28",188124,"20","0.75"
"C8","animal25",469568,"20","0.75"
"C8","animal26",424908,"20","0.75"
"C8","animal27",121220,"20","0.75"
"C8","animal28",1854028,"20","0.75"
"C9","animal25",46041,"20","0.75"
"C9","animal26",26677,"20","0.75"
"C9","animal27",10506,"20","0.75"
"C9","animal28",105163,"20","0.75"
"C0","animal25",1428892,"25","0.25"
"C0","animal26",261218,"25","0.25"
"C0","animal27",941904,"25","0.25"
"C0","animal28",1941200,"25","0.25"
"C1","animal25",110758,"25","0.25"
"C1","animal26",89744,"25","0.25"
"C1","animal27",70310,"25","0.25"
"C1","animal28",647168,"25","0.25"
"C10","animal25",16950,"25","0.25"
"C10","animal26",5876,"25","0.25"
"C10","animal27",50850,"25","0.25"
"C10","animal28",17402,"25","0.25"
"C11","animal25",10152,"25","0.25"
"C11","animal26",1974,"25","0.25"
"C11","animal27",8178,"25","0.25"
"C11","animal28",7332,"25","0.25"
"C12","animal25",3408,"25","0.25"
"C12","animal26",284,"25","0.25"
"C12","animal27",20164,"25","0.25"
"C12","animal28",2130,"25","0.25"
"C2","animal25",175612,"25","0.25"
"C2","animal26",58136,"25","0.25"
"C2","animal27",33368,"25","0.25"
"C2","animal28",438084,"25","0.25"
"C3","animal25",35224,"25","0.25"
"C3","animal26",66997,"25","0.25"
"C3","animal27",50694,"25","0.25"
"C3","animal28",305116,"25","0.25"
"C4","animal25",1303560,"25","0.25"
"C4","animal26",969576,"25","0.25"
"C4","animal27",436224,"25","0.25"
"C4","animal28",3430152,"25","0.25"
"C5","animal25",68562,"25","0.25"
"C5","animal26",153504,"25","0.25"
"C5","animal27",52650,"25","0.25"
"C5","animal28",427518,"25","0.25"
"C6","animal25",150784,"25","0.25"
"C6","animal26",75696,"25","0.25"
"C6","animal27",250800,"25","0.25"
"C6","animal28",207328,"25","0.25"
"C7","animal25",185709,"25","0.25"
"C7","animal26",25338,"25","0.25"
"C7","animal27",167787,"25","0.25"
"C7","animal28",189108,"25","0.25"
"C8","animal25",83937,"25","0.25"
"C8","animal26",52479,"25","0.25"
"C8","animal27",37779,"25","0.25"
"C8","animal28",12642,"25","0.25"
"C9","animal25",14256,"25","0.25"
"C9","animal26",12672,"25","0.25"
"C9","animal27",3894,"25","0.25"
"C9","animal28",6996,"25","0.25"
"C0","animal25",992734,"25","0.5"
"C0","animal26",168618,"25","0.5"
"C0","animal27",618624,"25","0.5"
"C0","animal28",1354314,"25","0.5"
"C1","animal25",36058,"25","0.5"
"C1","animal26",67881,"25","0.5"
"C1","animal27",52272,"25","0.5"
"C1","animal28",311212,"25","0.5"
"C10","animal25",84632,"25","0.5"
"C10","animal26",53193,"25","0.5"
"C10","animal27",38293,"25","0.5"
"C10","animal28",12814,"25","0.5"
"C11","animal25",12870,"25","0.5"
"C11","animal26",15543,"25","0.5"
"C11","animal27",3168,"25","0.5"
"C11","animal28",75339,"25","0.5"
"C12","animal25",30178,"25","0.5"
"C12","animal26",11850,"25","0.5"
"C12","animal27",31600,"25","0.5"
"C12","animal28",60040,"25","0.5"
"C13","animal25",18414,"25","0.5"
"C13","animal26",7719,"25","0.5"
"C13","animal27",21762,"25","0.5"
"C13","animal28",17205,"25","0.5"
"C14","animal25",14256,"25","0.5"
"C14","animal26",12606,"25","0.5"
"C14","animal27",3894,"25","0.5"
"C14","animal28",6996,"25","0.5"
"C15","animal25",16875,"25","0.5"
"C15","animal26",5850,"25","0.5"
"C15","animal27",50850,"25","0.5"
"C15","animal28",17775,"25","0.5"
"C16","animal25",10108,"25","0.5"
"C16","animal26",1862,"25","0.5"
"C16","animal27",7980,"25","0.5"
"C16","animal28",10906,"25","0.5"
"C17","animal25",3408,"25","0.5"
"C17","animal26",284,"25","0.5"
"C17","animal27",20164,"25","0.5"
"C17","animal28",2130,"25","0.5"
"C2","animal25",31977,"25","0.5"
"C2","animal26",32175,"25","0.5"
"C2","animal27",16335,"25","0.5"
"C2","animal28",293832,"25","0.5"
"C3","animal25",69148,"25","0.5"
"C3","animal26",155052,"25","0.5"
"C3","animal27",53100,"25","0.5"
"C3","animal28",433296,"25","0.5"
"C4","animal25",255168,"25","0.5"
"C4","animal26",50976,"25","0.5"
"C4","animal27",232992,"25","0.5"
"C4","animal28",281664,"25","0.5"
"C5","animal25",494064,"25","0.5"
"C5","animal26",445446,"25","0.5"
"C5","animal27",120888,"25","0.5"
"C5","animal28",1948662,"25","0.5"
"C6","animal25",67276,"25","0.5"
"C6","animal26",10648,"25","0.5"
"C6","animal27",12947,"25","0.5"
"C6","animal28",183436,"25","0.5"
"C7","animal25",114996,"25","0.5"
"C7","animal26",56203,"25","0.5"
"C7","animal27",193732,"25","0.5"
"C7","animal28",165501,"25","0.5"
"C8","animal25",582156,"25","0.5"
"C8","animal26",228969,"25","0.5"
"C8","animal27",262341,"25","0.5"
"C8","animal28",734184,"25","0.5"
"C9","animal25",46200,"25","0.5"
"C9","animal26",24800,"25","0.5"
"C9","animal27",8800,"25","0.5"
"C9","animal28",101600,"25","0.5"
"C0","animal25",319176,"25","0.75"
"C0","animal26",55044,"25","0.75"
"C0","animal27",158598,"25","0.75"
"C0","animal28",387288,"25","0.75"
"C1","animal25",45108,"25","0.75"
"C1","animal26",66906,"25","0.75"
"C1","animal27",57330,"25","0.75"
"C1","animal28",325962,"25","0.75"
"C10","animal25",171760,"25","0.75"
"C10","animal26",22192,"25","0.75"
"C10","animal27",145312,"25","0.75"
"C10","animal28",186656,"25","0.75"
"C11","animal25",80514,"25","0.75"
"C11","animal26",25137,"25","0.75"
"C11","animal27",72198,"25","0.75"
"C11","animal28",119259,"25","0.75"
"C12","animal25",84508,"25","0.75"
"C12","animal26",52836,"25","0.75"
"C12","animal27",38184,"25","0.75"
"C12","animal28",12728,"25","0.75"
"C13","animal25",330660,"25","0.75"
"C13","animal26",221442,"25","0.75"
"C13","animal27",139278,"25","0.75"
"C13","animal28",483966,"25","0.75"
"C14","animal25",12969,"25","0.75"
