"animal","condition","avg_expression","percent_expressed","marker","group"
"Animal28","nkp46+",0.0517569968778392,3.88300270513977,"IL10RA","cytokine_receptors"
"Animal28","nkp46-",0.0342067010612295,1.95634965509442,"IL10RA","cytokine_receptors"
"Animal52","nkp46+",0.0280143022300495,1.10868774990912,"IL10RA","cytokine_receptors"
"Animal52","nkp46-",0.0651044367804194,4.16809019473864,"IL10RA","cytokine_receptors"
"Animal25","nkp46+",0.0275813289986405,1.76952416682299,"IL18R1","cytokine_receptors"
"Animal25","nkp46-",0.0128055983896045,0.476593231033603,"IL18R1","cytokine_receptors"
"Animal26","nkp46+",0.053378644802206,3.23832206515058,"IL18R1","cytokine_receptors"
"Animal26","nkp46-",0.0294033536567909,2.04106575409435,"IL18R1","cytokine_receptors"
"Animal27","nkp46+",0.0144263609952571,0.677041228779305,"IL18R1","cytokine_receptors"
"Animal27","nkp46-",0.00523234934494173,0.242661813430398,"IL18R1","cytokine_receptors"
"Animal28","nkp46+",0.0340509939912851,2.53606853020739,"IL18R1","cytokine_receptors"
"Animal28","nkp46-",0.00711135967905703,0.433487881186626,"IL18R1","cytokine_receptors"
"Animal52","nkp46+",0.0170589438154848,0.675787317008691,"IL18R1","cytokine_receptors"
"Animal52","nkp46-",0.0154663668409768,0.990775538093611,"IL18R1","cytokine_receptors"
"Animal25","nkp46+",0.0232551948377434,1.51941474395048,"IL18RAP","cytokine_receptors"
"Animal25","nkp46-",0.00678037618791642,0.253735551170003,"IL18RAP","cytokine_receptors"
"Animal26","nkp46+",0.027190690559731,1.70175169022741,"IL18RAP","cytokine_receptors"
"Animal26","nkp46-",0.00515182020363176,0.403324370569543,"IL18RAP","cytokine_receptors"
"Animal27","nkp46+",0.0085961617948074,0.434518997574778,"IL18RAP","cytokine_receptors"
"Animal27","nkp46-",0.00230960364545857,0.0933314667039992,"IL18RAP","cytokine_receptors"
"Animal28","nkp46+",0.0292201563298024,2.24864743011722,"IL18RAP","cytokine_receptors"
